 Iter cont_resid imp_resid energy_resid
4840 0.332926 0.256352 0.266123
4850 0.335730 0.253484 0.265682
4860 0.332170 0.251507 0.261769
4870 0.324344 0.248936 0.253381
4880 0.315564 0.246839 0.242988
4890 0.308662 0.250174 0.229894
4900 0.308821 0.259398 0.226667
4910 0.311226 0.260778 0.227973
4920 0.316906 0.255585 0.232238
4930 0.323816 0.246639 0.240692
4940 0.328062 0.240321 0.248018
4950 0.332084 0.238299 0.253664
4960 0.331520 0.236497 0.253510
4970 0.331211 0.229549 0.253276
4980 0.330029 0.224076 0.253248
4990 0.330419 0.219486 0.253766
5000 0.330179 0.218533 0.252767
5010 0.323845 0.221621 0.249376
5020 0.324069 0.223011 0.247247
5030 0.316258 0.225785 0.237692
5040 0.311488 0.225086 0.230742
5050 0.309463 0.227791 0.226470
5060 0.308310 0.228453 0.223641
5070 0.313542 0.224323 0.228256
5080 0.314813 0.217223 0.230160
5090 0.319156 0.212774 0.234800
5100 0.321214 0.207598 0.239404
5110 0.320556 0.203456 0.239253
5120 0.323493 0.198107 0.242405
5130 0.321159 0.194004 0.239962
5140 0.323873 0.190038 0.244056
5150 0.321855 0.188661 0.240805
5160 0.325807 0.187595 0.244751
5170 0.320369 0.188332 0.239386
5180 0.319956 0.191647 0.239321
5190 0.315684 0.191707 0.233865
5200 0.309657 0.191769 0.227697
5210 0.308333 0.193225 0.223815
5220 0.304919 0.192647 0.220289
5230 0.307029 0.192171 0.221380
5240 0.310946 0.188762 0.224908
5250 0.307437 0.184104 0.222566
5260 0.316626 0.181743 0.230586
5270 0.310498 0.177566 0.227435
5280 0.317496 0.175168 0.232779
5290 0.317663 0.169982 0.232926
5300 0.308726 0.168142 0.226673
5310 0.319888 0.164528 0.235981
5320 0.314457 0.162510 0.232221
5330 0.314890 0.162262 0.232188
5340 0.316398 0.161449 0.233251
5350 0.312057 0.161539 0.230004
5360 0.307905 0.162132 0.226072
5370 0.308180 0.162057 0.224713
5380 0.300415 0.160686 0.217104
5390 0.298183 0.160633 0.213773
5400 0.299682 0.159441 0.215030
5410 0.294538 0.157237 0.210889
5420 0.294708 0.155885 0.211225
5430 0.297438 0.153772 0.213663
5440 0.295076 0.152071 0.212296
5450 0.293295 0.150096 0.211711
5460 0.295539 0.146773 0.213532
5470 0.295575 0.146022 0.212931
5480 0.292451 0.143871 0.211735
5490 0.294725 0.142336 0.214267
5500 0.297534 0.141008 0.215343
5510 0.295768 0.139324 0.214775
5520 0.295910 0.138808 0.214499
5530 0.297760 0.138401 0.216320
5540 0.295351 0.137444 0.214276
5550 0.290220 0.136379 0.210238
5560 0.290135 0.135733 0.209211
5570 0.286127 0.135662 0.205000
5580 0.284876 0.134167 0.203474
5590 0.284915 0.133853 0.203188
5600 0.281235 0.132505 0.200980
5610 0.280003 0.130883 0.199617
5620 0.278284 0.130891 0.198642
5630 0.277692 0.129243 0.198506
5640 0.272345 0.127402 0.194936
5650 0.272632 0.126366 0.194666
5660 0.274532 0.125983 0.196419
5670 0.270765 0.124729 0.194154
5680 0.264789 0.123628 0.189956
5690 0.270833 0.123082 0.194303
5700 0.273918 0.121333 0.197483
5710 0.266323 0.120334 0.191862
5720 0.263822 0.120269 0.189723
5730 0.269812 0.119247 0.194172
5740 0.269233 0.117166 0.194025
5750 0.263426 0.116567 0.189122
5760 0.262075 0.116218 0.187532
5770 0.260368 0.114580 0.185866
5780 0.260045 0.113521 0.185517
5790 0.260698 0.112736 0.185630
5800 0.255819 0.111547 0.182503
5810 0.254563 0.110674 0.181572
5820 0.255901 0.110364 0.182528
5830 0.254654 0.109002 0.182325
5840 0.248912 0.108573 0.178152
5850 0.250372 0.107879 0.179273
5860 0.251013 0.106433 0.179739
5870 0.247482 0.106407 0.176898
5880 0.246700 0.106355 0.177327
5890 0.244180 0.104703 0.175755
5900 0.244092 0.104527 0.175315
5910 0.245734 0.103797 0.176910
5920 0.243866 0.103113 0.175735
5930 0.246226 0.103036 0.176742
5940 0.245811 0.101798 0.176658
5950 0.240562 0.101335 0.172999
5960 0.241298 0.100920 0.173987
5970 0.239675 0.099520 0.172467
5980 0.242005 0.099468 0.173092
